"","prim_key","car1","car3","car5","RoA","log_total_asset","SUE_earcalldate","leverage","GVKEY","fyear_qtr","cogs_growth_last_year_qtr","sales_growth_last_year_qtr","cash_ratio","debt_assets","debt_capital","cogs_growth_last_qtr","sales_growth_last_qtr","doc_tot_toks_num_pr","doc_tot_toks_num_qna","doc_sents_num_pr","doc_sents_num_qna","ebitda","workingcap","oper_lev","quick_ratio","curr_ratio","cash_conversion","inv_turn","asset_turn","doc_wl_sents_num_pr","doc_wl_sents_num_qna","filt_wl_toks_pr","filt_wl_toks_qna","doc_wl_senti_mean_pr","doc_wl_senti_std_pr","doc_wl_lex_vol_pr","doc_wl_ttr_pr","doc_wl_mtld_pr","doc_wl_senti_mean_qna","doc_wl_senti_std_qna","doc_wl_lex_vol_qna","doc_wl_ttr_qna","doc_wl_mtld_qna","doc_senti_pr","doc_senti_qna","fogIndex_pr","fogIndex_qna"
"11","GV_025180_2012Q2",0.075447493,0.025385239,0.004171192,0.399349976914604,0.537824667769407,0.329536800111458,-0.00454851395572693,"GV_025180","2012Q2",0.110905024275817,0.140549478504197,0.226,0.561,0.42,0.172163702296667,0.183137617099881,2709,6350,119,330,319.7,1759.6,-38.15744681,0.871,1.654,81.308,4.194,1.379,12,11,23,15,0.570908333333333,0.274415701440296,327,0.486238532110092,74.0085227272727,0.211310322580645,0.323808906925737,3051,0.225499836119305,96.8263181632669,0.101,0.097,17.65,12.58
"12","GV_025180_2013Q2",0.037198607,0.056259141,0.003774656,0.382210855689334,0.582725468469827,-0.00465355876989155,-0.00478880168923437,"GV_025180","2013Q2",0.123011196228639,0.133117727965503,0.234,0.551,0.399,0.256814684546054,0.268444925304815,2521,7050,111,363,390.2,1741.9,12.51827515,0.883,1.703,86.556,3.998,1.308,11,29,25,37,0.563090909090909,0.357897640267564,247,0.522267206477733,72.4730538922156,0.18941375,0.328681825365309,3293,0.213786820528394,91.5428571428571,0.108,0.089,13.37,13.26
"13","GV_025180_2008Q3",0.128804493,0.129435437,-0.032005236,0.260192545808585,0.296118162558103,0.0525013728420386,-0.00493848614688152,"GV_025180","2008Q3",0.310625636207032,0.292870427774334,0.208,0.565,0.42,-0.134852948777588,-0.129414711530433,2713,5748,119,232,178.3,769.2,-5.303662258,0.696,1.36,66.003,4.677,1.614,5,12,11,13,0.50054,0.456994100618378,119,0.613445378151261,58.1233773031826,0.297332456140351,0.336101561108774,3556,0.202755905511811,90.2864461689143,0.117,0.117,16.91,18.46
"14","GV_025180_2009Q3",-0.017621371,0.004471223,0.07268731,-0.0689377205037552,0.276178075083802,-0.356045063528974,-0.00504066678043025,"GV_025180","2009Q3",-0.333253674274107,-0.33370096863911,0.154,0.548,0.397,-0.229122055674518,-0.213638936049802,3167,5513,135,219,71.7,1071,132.3333333,0.741,1.509,77.926,4.152,1.541,11,15,21,17,0.175209090909091,0.413788809550344,227,0.506607929515419,71.9720052083333,0.2601712,0.361006325298888,3321,0.199036434808793,101.012559263916,0.023,0.086,14.05,14.88
"15","GV_025180_2010Q3",-0.041245876,-0.007098127,-0.008461145,0.115157251872112,0.314052293348031,0.336479848785117,-0.00503891519714456,"GV_025180","2010Q3",0.1834229390681,0.192803166606693,0.298,0.526,0.365,-0.049924465865765,-0.0491107286288009,2477,4246,109,183,115,1229,6.712839206,0.871,1.631,94.499,3.909,1.265,14,14,21,15,0.588721428571429,0.264932285045331,291,0.43298969072165,55.5055555555556,0.234648717948718,0.396152800358777,1959,0.251659009698826,94.9399458593869,0.113,0.077,11.76,15.04
"16","GV_025180_2011Q3",0.067029905,0.099096175,0.129707705,0.172107234904396,0.361232384019518,0.0665476049611089,-0.00523595038683677,"GV_025180","2011Q3",0.252896191413644,0.26650174972849,0.255,0.503,0.336,-0.0973214772789263,-0.110022894937675,2743,5465,118,262,155.7,1323,-3.799963794,0.883,1.624,86.94,4.254,1.412,22,16,36,14,0.589077272727273,0.186139576231995,432,0.423611111111111,64.7197524859711,0.222882786885246,0.328993272229592,2853,0.22888187872415,101.958733327714,0.132,0.096,13.49,14.68
"17","GV_025180_2012Q3",-0.02157415,-0.046727202,-0.050321932,0.127228109450236,0.529246260063178,0.0202491850506881,-0.00467876597326112,"GV_025180","2012Q3",0.0662355714026711,0.0933257110190082,0.206,0.57,0.434,-0.133618149675899,-0.146871863499498,2884,5282,126,231,191.5,1702.4,-20.82577132,0.869,1.684,82.658,4.094,1.357,15,24,32,55,0.39676,0.286023754757737,371,0.485175202156334,72.324602555025,0.219797637795276,0.328454021924204,3069,0.216357119582926,87.4257860858732,0.077,0.075,15.43,14.73
"18","GV_025180_2013Q3",-0.095662655,-0.090444717,-0.088512052,0.176339273527476,0.58977309566624,0.0649165093681088,-0.00487880137123805,"GV_025180","2013Q3",0.058380094088307,0.0788235294117648,0.249,0.548,0.392,-0.183479819843456,-0.187750147628108,2371,4854,105,245,263.2,1761.9,25.00909091,0.886,1.665,83.884,4.116,1.328,12,7,28,7,0.563358333333333,0.320572758606539,286,0.517482517482518,65.2701072386059,0.217879439252336,0.337435210199975,2492,0.237158908507223,98.0722674208829,0.113,0.101,15.53,13.43
"19","GV_025180_2007Q4",-0.012102876,0.046420612,0.096547352,0.210566779321745,0.262865555586948,1.11944199446088,-0.00486862000088518,"GV_025180","2007Q4",0.32048031026253,0.328865222181418,0.28,0.573,0.427,0.386344060762666,0.346001239925604,2782,4478,125,195,166.5,638.4,6.293043478,0.699,1.457,78.516,4.178,1.491,19,8,28,25,0.680984210526316,0.151479541204444,481,0.382536382536383,65.381876125814,0.23305375,0.361915450978051,2588,0.219860896445131,83.0486919901918,0.154,0.105,13.7,23.43
"20","GV_025180_2008Q4",-0.069233445,-0.017482294,-0.099528935,0.266573361675053,0.283110277630993,0.0345846460166891,-0.00485044327850923,"GV_025180","2008Q4",-0.0123693871787631,-0.00640228455621579,0.276,0.605,0.466,0.0446887322260724,0.0344298455931714,2984,5692,133,272,176.5,1026.7,-19.52217195,0.7,1.336,62.691,4.851,1.657,11,11,19,18,0.415654545454545,0.368014902860295,231,0.558441558441558,83.8380665010058,0.248220634920635,0.380773489900221,3427,0.20396848555588,90.1842105263158,0.088,0.115,13.77,17.59
"21","GV_025180_2009Q4",0.037148929,0.075788379,0.072044237,0.0139436459391016,0.29575712007003,-0.245449315865295,-0.0050320114179955,"GV_025180","2009Q4",-0.127416218689237,-0.152976080103838,0.38,0.526,0.352,0.367204301075269,0.315005397625045,2845,6506,130,277,97.1,1070.8,11.0538415,0.764,1.596,89.176,3.785,1.411,14,26,28,39,0.41215,0.386076378951906,282,0.5,72.5173476546839,0.1812,0.321683846596764,3878,0.177668901495616,90.0367318650855,0.047,0.081,13.57,13.78
"22","GV_025180_2010Q4",-0.014693208,0.038022973,0.021408796,0.186395404289387,0.337870002306559,0.29906495993717,-0.00504118166441286,"GV_025180","2010Q4",0.127670730108795,0.186514886164623,0.376,0.511,0.345,0.302793972893163,0.308072885241945,2517,5304,108,252,186.3,1208.1,10.07434944,0.899,1.639,90.802,4.075,1.298,21,17,37,22,0.556166666666667,0.231650398949221,471,0.369426751592357,55.4724753076264,0.186724347826087,0.316979810799702,2535,0.229191321499014,90.6073921939584,0.119,0.088,13.29,13.42
"23","GV_025180_2011Q4",0.004387337,-0.017025507,-0.014099797,0.636491254206778,0.508181334013602,1.17329559747865,-0.00450479672637502,"GV_025180","2011Q4",0.13448796931303,0.161346863468635,0.328,0.582,0.446,0.179670030821297,0.199466437997237,2906,5521,128,282,234.9,1457.3,1.573035112,0.876,1.627,83.768,4.354,1.463,27,14,53,16,0.500874074074074,0.277856139579449,552,0.409420289855073,73.4601973580504,0.227182945736434,0.308785322403575,2634,0.231966590736522,102.241876542575,0.118,0.11,12.8,12.54
"24","GV_025180_2012Q4",0.028941003,0.004459934,-0.00414544,0.140742592936785,0.544777414163508,-1.00608623368325,-0.00479486912007263,"GV_025180","2012Q4",0.0862704918032787,0.0737151481452061,0.317,0.547,0.386,0.201836422377147,0.177952069716776,2766,4678,118,217,208.9,1489.9,13.46985551,0.869,1.708,87.391,3.931,1.299,15,16,35,24,0.493926666666667,0.340852623089022,356,0.480337078651685,76.3545391781151,0.233580612244898,0.337397029319222,2199,0.239199636198272,104.439523532052,0.096,0.111,15.1,12.42
"25","GV_001837_2008Q1",0.0120831109,-0.0198655587,0.00586840560000004,0.163866817341396,0.409881091831336,NA,-0.00303653789836724,"GV_001837","2008Q1",0.0914127423822715,0.040082219938335,0.013,0.716,0.621,0.548133595284872,0.477372262773723,2117,2095,83,110,224,23,-8.096,0.766,1.101,104.894,3.242,0.402,2,4,4,10,0.6368,0.155704913217278,83,0.734939759036145,87.6781818181818,0.253753191489362,0.417043519182072,1169,0.3267750213858,78.611083653408,0.095,0.119,23.83,13.56
"26","GV_001837_2009Q1",0.041573944,0.058802051,0.024504249,0.256056016771547,0.411223615557509,0.282621200845434,-0.00278436114667163,"GV_001837","2009Q1",-0.0786802030456853,-0.016798418972332,0.009,0.733,0.645,0.196046128500824,0.236024844720497,2379,3730,96,214,269,83,-1.799276673,0.695,1.03,106.67,3.575,0.431,11,8,20,20,0.234163636363636,0.41011691570265,299,0.48494983277592,71.0429752917837,0.190004,0.29856141811674,2301,0.22729248152977,68.525078369906,0.079,0.098,13.69,14.97
"27","GV_001837_2010Q1",0.031280916,0.034279013,0.04681771,0.261887038706227,0.471969582670621,0.0928396232663256,-0.00287693862378306,"GV_001837","2010Q1",-0.0220385674931129,0.00804020100502513,0.013,0.726,0.621,0.577777777777778,0.572100313479624,1881,4044,87,170,293,-134,-4.02811245,0.749,1.129,136.902,2.521,0.336,3,2,7,2,0.627433333333333,0.134475623565512,86,0.674418604651163,59.5858959195742,0.231343678160919,0.369999431709541,2560,0.23515625,76.9484265263013,0.073,0.085,19.39,21.72
"28","GV_001837_2011Q1",0.006128184,0.023894676,0.035868775,0.224075237565066,0.489087237874751,-0.153540451727338,-0.00288851440360649,"GV_001837","2011Q1",-0.163380281690141,-0.124626121635095,0.018,0.738,0.636,0.234927234927235,0.320300751879699,2719,4018,100,135,284,274,-1.784552846,0.627,0.89,123.014,2.604,0.325,11,12,20,18,0.377363636363636,0.453197377028436,349,0.578796561604584,117.413292911033,0.420065476190476,0.330025229226913,2518,0.247815726767276,94.3965672990063,0.095,0.147,17.04,17.62
"29","GV_001837_2012Q1",-0.010018255,0.005520101,0.018850007,0.0749349560344343,0.862723820094068,-0.702639695197534,-0.00264069846575519,"GV_001837","2012Q1",0.730639730639731,0.599088838268793,0.055,0.748,0.622,0.825932504440497,0.777215189873418,3140,4804,124,187,376,-326,-2.083086053,0.647,0.89,143.973,2.367,0.218,11,14,19,27,0.567463636363636,0.220328578594459,290,0.586206896551724,105.136375510337,0.280989898989899,0.358944247985999,2896,0.215124309392265,80.5908904555396,0.086,0.097,14.97,17.37
"30","GV_001837_2013Q1",0.017068317,-0.016207176,-0.028636445,0.0928587955409765,0.893152263152939,0.111817864044689,-0.00265163889639404,"GV_001837","2013Q1",0.186770428015564,0.148148148148148,0.059,0.749,0.611,0.348066298342541,0.323481116584565,2746,2563,118,119,392,-699,-8.019900498,0.587,0.799,98.334,3.947,0.28,18,8,29,18,0.409094444444444,0.284255312894054,454,0.517621145374449,106.977011494253,0.340944871794872,0.299918868963546,1778,0.285151856017998,93.9868338411472,0.08,0.137,15.72,15.03
"31","GV_001837_2008Q2",0.003923854,-0.016598832,0.004726855,-0.14390889082124,0.451394778438685,-0.793014487804936,-0.00259759539424172,"GV_001837","2008Q2",0.13314447592068,-0.0492505353319058,0.012,0.724,0.635,-0.49238578680203,-0.561264822134387,3030,1156,106,65,44,64,0.991071429,0.697,1.059,78.444,3.554,0.421,6,1,23,2,0.278616666666667,0.549718049245854,184,0.619565217391304,77.2979167356672,0.174471428571429,0.249055168449115,659,0.408194233687405,87.561950083743,0.073,0.084,16.85,10
"32","GV_001837_2009Q2",-0.019838881,-0.034756848,-0.024039438,-0.0498651309737109,0.40766886082595,0.293011787870077,-0.00275994200645717,"GV_001837","2009Q2",-0.2925,-0.150900900900901,0.009,0.727,0.63,-0.610192837465565,-0.621105527638191,2116,991,83,67,94,35,-10.18918919,0.691,1.045,84.997,3.333,0.429,6,1,14,1,0.3097,0.390331202954619,214,0.560747663551402,97.0335320417288,0.124063636363636,0.306270220783099,374,0.505347593582888,96.0348363534204,0.088,0.055,18.95,10.94
"33","GV_001837_2010Q2",-0.042220896,-0.020516118,-0.014791296,-0.0727710474585724,0.467894243620735,-0.0887551718772403,-0.0026796976685407,"GV_001837","2010Q2",-0.03886925795053,-0.0477453580901857,0.013,0.73,0.627,-0.616901408450704,-0.642073778664008,2050,2976,85,84,87,-337,-7.638297872,0.69,1.069,87.002,2.997,0.355,9,9,18,27,0.263677777777778,0.272154321010056,249,0.534136546184739,67.3597363536446,0.358577941176471,0.351479655191603,2485,0.242655935613682,82.5531461755718,0.066,0.116,15.1,22.03
"34","GV_001837_2011Q2",-0.002194953,0.002705595,0.04330486,-0.0646065111177525,0.504905427810877,0.0272937424979129,-0.00272555531273069,"GV_001837","2011Q2",-0.0441176470588235,0.0445682451253482,0.02,0.739,0.635,-0.562289562289562,-0.572892938496583,2943,5397,114,219,115,204,1.963350785,0.609,0.9,74.626,2.856,0.319,17,20,28,45,0.473405882352941,0.281091787657049,508,0.466535433070866,101.875081841511,0.241091129032258,0.408709420901543,3591,0.201893622946254,87.6038537505741,0.1,0.104,17.08,18.17
"35","GV_001837_2012Q2",0.004708285,-0.005547686,-0.025086919,-0.0633247532339791,0.864280890615438,0.0381847301379864,-0.00263679023034741,"GV_001837","2012Q2",0.884615384615385,0.829333333333333,0.062,0.748,0.613,-0.523346303501946,-0.511396011396011,2611,4514,108,171,196,-580,19.6,0.725,1.025,80.549,3.473,0.274,8,11,20,20,0.47085,0.223873739926262,201,0.587064676616915,84.3786716710183,0.315946391752577,0.339946337695947,2948,0.227272727272727,84.6902105491643,0.094,0.096,15.81,17.09
"36","GV_001837_2013Q2",-0.002408691,-0.006058518,-0.002460883,-0.0527396852670365,0.886985707622549,0.0618159726202531,-0.00271641111385105,"GV_001837","2013Q2",0.224489795918367,0.173469387755102,0.066,0.749,0.613,-0.508196721311475,-0.500620347394541,3692,5808,150,270,205,-286,-5.551724138,0.569,0.778,60.645,5.056,0.301,27,16,46,25,0.450148148148148,0.325652265426187,700,0.381428571428571,89.7768286278838,0.246250757575758,0.331615823317029,3339,0.21413596885295,96.0773638255707,0.084,0.091,14.42,14.65
"37","GV_001837_2008Q3",0.051214213,-0.034239861,0.0124315,0.078256682269448,0.443558335101645,0.690151420256459,-0.00225133856530188,"GV_001837","2008Q3",0.353790613718412,0.46070460704607,0.01,0.728,0.642,-0.0625,0.213963963963964,2863,4138,114,191,164,118,-6.195402299,0.704,1.046,81.066,3.48,0.404,5,7,16,11,0.68922,0.253543156089846,210,0.647619047619048,99.9874842033635,0.19139693877551,0.356303744350175,2630,0.244486692015209,85.8381107785526,0.066,0.09,23.66,13.67
"38","GV_001837_2009Q3",-0.007224239,-0.000457972,-0.017675856,-0.0751464805881539,0.413708794635709,-0.550966578674567,-0.00246618361424626,"GV_001837","2009Q3",-0.402666666666667,-0.430426716141002,0.012,0.724,0.62,-0.208480565371025,-0.185676392572944,2706,2786,108,129,83,274,4.873015873,0.68,1.046,86.229,3.383,0.426,5,7,16,15,0.31282,0.343013457461949,189,0.555555555555556,77.2178751128887,0.268008064516129,0.304845159458655,1422,0.30379746835443,87.5906791907514,0.081,0.1,18.72,21.07
"39","GV_001837_2010Q3",-0.02877151,-0.030159361,-0.024429408,-0.0511865588753722,0.476531645218762,0.0665603290670082,-0.0023323380176725,"GV_001837","2010Q3",0.0892857142857143,0.127035830618893,0.01,0.735,0.633,-0.102941176470588,-0.0362116991643454,2487,3806,97,136,102,-436,3.46,0.656,1.005,81.154,2.94,0.344,9,16,16,23,0.444866666666667,0.26388775075778,286,0.503496503496504,65.417777092682,0.311026582278481,0.33556107232318,2452,0.234094616639478,78.9106603153745,0.105,0.108,18.31,19.6
"40","GV_001837_2011Q3",-0.020114662,-0.02159598,-0.024326284,-0.119778575005275,0.524356604886269,-0.40594497391,-0.00217108580771321,"GV_001837","2011Q3",-0.069672131147541,-0.147398843930636,0.047,0.742,0.638,-0.126923076923077,-0.213333333333333,3408,2194,139,92,68,661,1.219008264,0.662,0.969,74.134,2.855,0.316,10,5,28,7,0.49689,0.228293390423619,279,0.56989247311828,96.7556473228469,0.201553333333333,0.421450022163741,1232,0.311688311688312,73.7408621060226,0.077,0.071,16.61,14.74
"41","GV_001837_2012Q3",-0.02162033,-0.036491508,-0.017895612,-0.0995064052071779,0.878372904100733,0.125289334900291,-0.00238725403978837,"GV_001837","2012Q3",1,1.08135593220339,0.052,0.748,0.608,-0.073469387755102,-0.104956268221574,2152,1350,94,66,160,-629,1.912772586,0.67,0.935,77.004,3.85,0.265,2,5,4,7,0.5935,0.1766352739404,66,0.772727272727273,81.312,0.218213513513514,0.279226546973125,878,0.364464692482916,89.1703786021745,0.068,0.089,16.84,14.67
"42","GV_001837_2013Q3",0.003307137,0.00899889,0.020388143,-0.0778659610527152,0.891627262689949,0.0795143006598524,-0.00249214728888842,"GV_001837","2013Q3",-0.118942731277533,-0.0651465798045603,0.07,0.747,0.612,-0.333333333333333,-0.28695652173913,3048,745,123,37,174,-316,5.266055046,0.592,0.802,56.232,5.279,0.306,18,2,36,2,0.58235,0.225755550384507,481,0.465696465696466,86.490625,0.276341176470588,0.233319384264423,418,0.483253588516746,104.617398219141,0.112,0.122,15.67,14.91
"43","GV_001837_2007Q4",-0.022191522,-0.005226441,-0.00444377,0.0884636528325172,0.421761101134786,0.313958609048665,-0.0023987130936504,"GV_001837","2007Q4",-0.0910714285714286,-0.0311173974540311,0.013,0.728,0.644,0.837545126353791,0.856368563685637,3170,3068,119,150,176,166,1.60046729,0.707,1.12,80.512,3.413,0.428,13,7,26,15,0.703530769230769,0.367509118672847,398,0.479899497487437,95.2666780122532,0.201393103448276,0.345134613383115,1758,0.272468714448237,75.5078412294422,0.159,0.097,16.46,20.07
"44","GV_001837_2008Q4",0.034465051,0.048400244,0.059282612,0.0979623174971098,0.461947709806336,0.0581452454721203,-0.001958381122764,"GV_001837","2008Q4",0.192534381139489,0.175182481751825,0.008,0.749,0.665,0.618666666666667,0.493506493506494,3686,3637,133,206,198,59,3.90776699,0.71,1.052,79.197,3.416,0.42,13,2,29,4,0.469969230769231,0.380862607302195,439,0.489749430523918,70.3611963190184,0.179944827586207,0.276059891024099,1956,0.265337423312883,84.7944718956186,NA,NA,18.53,22.32
"45","GV_001837_2009Q4",0.017022119,-0.007497334,0.009423993,0.0790739714977628,0.493102580972861,-0.0622471531500344,-0.00217947995755335,"GV_001837","2009Q4",-0.258649093904448,-0.207453416149068,0.015,0.743,0.652,1.00892857142857,1.07817589576547,6790,1,313,1,188,228,0.716049383,0.692,1.08,89.814,3.355,0.395,27,0,54,0,0.236659259259259,0.392908118305284,766,0.400783289817232,75.4704466053336,0,0,1,1,0,0.108,0,14.44,0.4
"46","GV_001837_2010Q4",0.008998241,0.000699822,0.011869132,0.0500459799351075,0.529003129973241,-0.118986715274784,-0.00207053775566155,"GV_001837","2010Q4",0.0688888888888889,0.0423197492163009,0.01,0.756,0.667,0.971311475409836,0.921965317919075,3387,5044,141,249,184,-266,1.0390625,0.605,0.909,75.457,2.953,0.341,21,17,39,27,0.438452380952381,0.242104712095919,562,0.46797153024911,93.6666666666667,0.352877049180328,0.358795007839748,3230,0.208049535603715,85.4415061290716,0.126,0.152,16.63,15.18
"47","GV_001837_2011Q4",-0.012904621,-0.032141868,-0.034450731,-0.0669348567970987,0.89200888265897,-0.867772665765315,-0.00210824554263326,"GV_001837","2011Q4",0.17047817047817,0.18796992481203,0.04,0.76,0.635,1.48017621145374,1.67796610169492,3884,6933,146,263,227,-338,0.12240471,0.792,1.139,74.233,2.867,0.303,18,12,35,31,0.427922222222222,0.315001586467631,480,0.477083333333333,97.9009900990099,0.223760264900662,0.318164433604066,4321,0.189308030548484,98.7488543914813,0.075,0.08,15.85,20.4
"48","GV_001837_2012Q4",-0.053356719,-0.047949669,-0.034096118,0.0198969977109558,0.901595126557516,0.583397513097693,-0.00218607809428192,"GV_001837","2012Q4",0.607460035523979,0.541772151898734,0.057,0.757,0.633,0.993392070484581,0.98371335504886,3800,4345,154,210,313,-670,2.230769231,0.586,0.824,74.989,3.991,0.259,17,12,29,20,0.508788235294118,0.252276725250153,451,0.505543237250554,102.637079360306,0.171806730769231,0.287381874513542,2462,0.25264012997563,97.1185175902297,0.082,0.07,16.19,14.77
"49","GV_144520_2008Q1",0.08688366,0.108636195,0.105039048,0.137547552987953,-0.900743457642644,0.187009575475399,-0.00440112863758806,"GV_144520","2008Q1",0.0222239038209601,0.0339820527991435,0.096,0.573,0.395,0.029542336712141,0.0269116016495336,3551,6706,156,400,22.352,101.404,9.173634546,1.89,1.89,51.931,NA,1.854,9,12,11,19,0.338911111111111,0.404252360674754,234,0.542735042735043,68.7888521492678,0.220174375,0.33269360075111,3449,0.215134821687446,86.9189285040402,0.109,0.132,16.38,14.73
"50","GV_144520_2009Q1",0.023799559,0.047829581,0.099013939,-5.3843028484201,-1.14460574143893,-29.3307122850415,-0.00393805741129957,"GV_144520","2009Q1",-0.141233841342106,-0.149860521197713,0.081,0.576,0.403,-0.15617868215997,-0.156494379896047,3972,2856,156,135,13.903,101.894,-1.231868322,1.627,1.627,47.948,NA,1.907,18,0,29,0,0.388711111111111,0.336909069402638,528,0.479166666666667,75.6636806537797,0.0519132075471698,0.333886167864793,1203,0.345802161263508,96.7461273906722,0.06,0.046,16.64,0.4
